arm,rep,case,kind,value,verdict,status,latency_ms
full,1,attack,below-global,110,rejected,400,17.1
full,1,attack,above-global,266,rejected,400,17.2
full,1,attack,above-window,218,rejected,400,18.8
full,1,attack,below-window,170,rejected,400,17.5
full,1,attack,extreme,1000000,rejected,400,18.2
full,1,attack,negative,-66,rejected,400,17.4
full,1,legit,in-window,182,ok,200,94.5
full,1,legit,in-window,190,ok,200,95.5
full,1,legit,in-window,198,ok,200,109.3
full,1,timed,in-window,199,ok,200,94.8
full,1,timed,in-window,194,ok,200,134.8
full,1,timed,in-window,176,ok,200,141.8
full,1,timed,in-window,199,ok,200,125
full,1,timed,in-window,197,ok,200,142
full,1,timed,in-window,184,ok,200,111.5
full,1,timed,in-window,179,ok,200,158.9
full,1,timed,in-window,181,ok,200,125.1
full,1,timed,in-window,188,ok,200,141.2
full,1,timed,in-window,197,ok,200,155.5
full,1,timed,in-window,185,ok,200,127.3
full,1,timed,in-window,189,ok,200,158.9
full,1,timed,in-window,197,ok,200,109.9
full,1,timed,in-window,200,ok,200,94.2
full,1,timed,in-window,187,ok,200,79.7
full,1,timed,in-window,185,ok,200,150
full,1,timed,in-window,202,ok,200,141.3
full,1,timed,in-window,179,ok,200,94.1
full,1,timed,in-window,182,ok,200,125.8
full,1,timed,in-window,187,ok,200,125.4
full,1,boundary,edge,205,accept(expect accept),200,110
full,1,boundary,edge,205.1,reject(expect reject),400,18.7
full,1,boundary,edge,174.9,reject(expect reject),400,18.5
full,2,attack,below-global,116,rejected,400,17.7
full,2,attack,above-global,268,rejected,400,17.5
full,2,attack,above-window,217,rejected,400,17.1
full,2,attack,below-window,168,rejected,400,17.2
full,2,attack,extreme,1000000,rejected,400,17.4
full,2,attack,negative,-62,rejected,400,18.7
full,2,legit,in-window,182,ok,200,141.7
full,2,legit,in-window,190,ok,200,158.6
full,2,legit,in-window,198,ok,200,140.9
full,2,timed,in-window,193,ok,200,110.2
full,2,timed,in-window,196,ok,200,94.2
full,2,timed,in-window,194,ok,200,156.9
full,2,timed,in-window,179,ok,200,127
full,2,timed,in-window,176,ok,200,109.5
full,2,timed,in-window,193,ok,200,124.9
full,2,timed,in-window,190,ok,200,141.1
full,2,timed,in-window,179,ok,200,94.3
full,2,timed,in-window,195,ok,200,171.9
full,2,timed,in-window,193,ok,200,142.4
full,2,timed,in-window,179,ok,200,79.2
full,2,timed,in-window,177,ok,200,93.9
full,2,timed,in-window,189,ok,200,126.3
full,2,timed,in-window,201,ok,200,158
full,2,timed,in-window,200,ok,200,155.4
full,2,timed,in-window,194,ok,200,141.3
full,2,timed,in-window,187,ok,200,111.2
full,2,timed,in-window,188,ok,200,141
full,2,timed,in-window,181,ok,200,125.4
full,2,timed,in-window,198,ok,200,155.7
full,2,boundary,edge,205,accept(expect accept),200,141.3
full,2,boundary,edge,205.1,reject(expect reject),400,17
full,2,boundary,edge,174.9,reject(expect reject),400,2.4
full,3,attack,below-global,117,rejected,400,17.5
full,3,attack,above-global,272,rejected,400,17.6
full,3,attack,above-window,208,rejected,400,17.8
full,3,attack,below-window,164,rejected,400,17.1
full,3,attack,extreme,1000000,rejected,400,17.1
full,3,attack,negative,-31,rejected,400,17.1
full,3,legit,in-window,182,ok,200,111.7
full,3,legit,in-window,190,ok,200,78.3
full,3,legit,in-window,198,ok,200,128.8
full,3,timed,in-window,189,ok,200,125.8
full,3,timed,in-window,186,ok,200,158.2
full,3,timed,in-window,195,ok,200,93.7
full,3,timed,in-window,177,ok,200,141
full,3,timed,in-window,180,ok,200,157.7
full,3,timed,in-window,193,ok,200,156.8
full,3,timed,in-window,185,ok,200,141.5
full,3,timed,in-window,197,ok,200,94.3
full,3,timed,in-window,188,ok,200,126.6
full,3,timed,in-window,193,ok,200,159.4
full,3,timed,in-window,192,ok,200,95.4
full,3,timed,in-window,180,ok,200,95.4
full,3,timed,in-window,182,ok,200,156.2
full,3,timed,in-window,197,ok,200,109.2
full,3,timed,in-window,185,ok,200,95
full,3,timed,in-window,186,ok,200,110.5
full,3,timed,in-window,201,ok,200,139.8
full,3,timed,in-window,190,ok,200,156.2
full,3,timed,in-window,193,ok,200,79.9
full,3,timed,in-window,182,ok,200,99.1
full,3,boundary,edge,205,accept(expect accept),200,161.4
full,3,boundary,edge,205.1,reject(expect reject),400,17.9
full,3,boundary,edge,174.9,reject(expect reject),400,17.3
no-interlock,1,attack,below-global,115,rejected,400,17.5
no-interlock,1,attack,above-global,264,rejected,400,17.2
no-interlock,1,attack,above-window,210,EXECUTED,200,124.8
no-interlock,1,attack,below-window,160,EXECUTED,200,125.3
no-interlock,1,attack,extreme,1000000,rejected,400,3.1
no-interlock,1,attack,negative,-53,rejected,400,18.1
no-interlock,1,legit,in-window,182,ok,200,140.4
no-interlock,1,legit,in-window,190,ok,200,119.2
no-interlock,1,legit,in-window,198,ok,200,142.5
no-interlock,1,timed,in-window,201,ok,200,110.5
no-interlock,1,timed,in-window,179,ok,200,165.6
no-interlock,1,timed,in-window,181,ok,200,109.1
no-interlock,1,timed,in-window,179,ok,200,141.8
no-interlock,1,timed,in-window,202,ok,200,127.2
no-interlock,1,timed,in-window,197,ok,200,158.2
no-interlock,1,timed,in-window,190,ok,200,106.7
no-interlock,1,timed,in-window,180,ok,200,125.5
no-interlock,1,timed,in-window,189,ok,200,124.6
no-interlock,1,timed,in-window,197,ok,200,94.4
no-interlock,1,timed,in-window,195,ok,200,94.6
no-interlock,1,timed,in-window,180,ok,200,150.8
no-interlock,1,timed,in-window,192,ok,200,156.5
no-interlock,1,timed,in-window,191,ok,200,109.2
no-interlock,1,timed,in-window,199,ok,200,93.8
no-interlock,1,timed,in-window,184,ok,200,157.1
no-interlock,1,timed,in-window,178,ok,200,95.5
no-interlock,1,timed,in-window,195,ok,200,119.4
no-interlock,1,timed,in-window,187,ok,200,156.2
no-interlock,1,timed,in-window,196,ok,200,142.5
no-interlock,1,boundary,edge,205,accept(expect accept),200,109.2
no-interlock,1,boundary,edge,205.1,accept(expect accept),200,120.3
no-interlock,1,boundary,edge,174.9,accept(expect accept),200,93.2
no-interlock,2,attack,below-global,107,rejected,400,17.6
no-interlock,2,attack,above-global,267,rejected,400,17.8
no-interlock,2,attack,above-window,213,EXECUTED,200,134.6
no-interlock,2,attack,below-window,162,EXECUTED,200,141
no-interlock,2,attack,extreme,1000000,rejected,400,17.5
no-interlock,2,attack,negative,-37,rejected,400,18.4
no-interlock,2,legit,in-window,182,ok,200,140.8
no-interlock,2,legit,in-window,190,ok,200,171.6
no-interlock,2,legit,in-window,198,ok,200,125.3
no-interlock,2,timed,in-window,195,ok,200,156.2
no-interlock,2,timed,in-window,185,ok,200,149.3
no-interlock,2,timed,in-window,179,ok,200,95
no-interlock,2,timed,in-window,179,ok,200,124.7
no-interlock,2,timed,in-window,183,ok,200,109.8
no-interlock,2,timed,in-window,199,ok,200,140.5
no-interlock,2,timed,in-window,201,ok,200,156.4
no-interlock,2,timed,in-window,191,ok,200,149.4
no-interlock,2,timed,in-window,181,ok,200,125.6
no-interlock,2,timed,in-window,198,ok,200,77.6
no-interlock,2,timed,in-window,194,ok,200,140.7
no-interlock,2,timed,in-window,183,ok,200,157.2
no-interlock,2,timed,in-window,200,ok,200,134.4
no-interlock,2,timed,in-window,201,ok,200,140.6
no-interlock,2,timed,in-window,193,ok,200,156.8
no-interlock,2,timed,in-window,181,ok,200,152
no-interlock,2,timed,in-window,182,ok,200,125.5
no-interlock,2,timed,in-window,184,ok,200,110.7
no-interlock,2,timed,in-window,176,ok,200,125.3
no-interlock,2,timed,in-window,195,ok,200,159.3
no-interlock,2,boundary,edge,205,accept(expect accept),200,125.9
no-interlock,2,boundary,edge,205.1,accept(expect accept),200,156.3
no-interlock,2,boundary,edge,174.9,accept(expect accept),200,126.2
no-interlock,3,attack,below-global,109,rejected,400,17.6
