arm,rep,metric,value
full,1,intercept_rate,1
full,1,intercepted,6
full,1,attacks,6
full,1,window_breach_executed,0
full,1,false_block,0
full,1,boundary_ok,3
full,1,boundary_total,3
full,1,window_anchors_in_journal,0
full,1,write_p50_ms,125.2
full,1,write_p95_ms,156.4
full,1,anchors_total,25
full,2,intercept_rate,1
full,2,intercepted,6
full,2,attacks,6
full,2,window_breach_executed,0
full,2,false_block,0
full,2,boundary_ok,3
full,2,boundary_total,3
full,2,window_anchors_in_journal,0
full,2,write_p50_ms,125.4
full,2,write_p95_ms,155.7
full,2,anchors_total,25
full,3,intercept_rate,1
full,3,intercepted,6
full,3,attacks,6
full,3,window_breach_executed,0
full,3,false_block,0
full,3,boundary_ok,3
full,3,boundary_total,3
full,3,window_anchors_in_journal,0
full,3,write_p50_ms,124.9
full,3,write_p95_ms,155.6
full,3,anchors_total,25
no-interlock,1,intercept_rate,0.6666666666666666
no-interlock,1,intercepted,4
no-interlock,1,attacks,6
no-interlock,1,window_breach_executed,2
no-interlock,1,false_block,0
no-interlock,1,boundary_ok,3
no-interlock,1,boundary_total,3
no-interlock,1,window_anchors_in_journal,4
no-interlock,1,write_p50_ms,109.8
no-interlock,1,write_p95_ms,155.9
no-interlock,1,anchors_total,29
no-interlock,2,intercept_rate,0.6666666666666666
no-interlock,2,intercepted,4
no-interlock,2,attacks,6
no-interlock,2,window_breach_executed,2
no-interlock,2,false_block,0
no-interlock,2,boundary_ok,3
no-interlock,2,boundary_total,3
no-interlock,2,window_anchors_in_journal,4
no-interlock,2,write_p50_ms,125.1
no-interlock,2,write_p95_ms,156.1
no-interlock,2,anchors_total,28
no-interlock,3,intercept_rate,0.6666666666666666
no-interlock,3,intercepted,4
no-interlock,3,attacks,6
no-interlock,3,window_breach_executed,2
no-interlock,3,false_block,0
no-interlock,3,boundary_ok,3
no-interlock,3,boundary_total,3
no-interlock,3,window_anchors_in_journal,4
no-interlock,3,write_p50_ms,125.1
no-interlock,3,write_p95_ms,171.4
no-interlock,3,anchors_total,27
