phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms
P3,1,modbus-tcp,7,32.981,34.112,0.04,6,6,0,,,,,,,,,,
P3,2,opcua,9,5.702,6.171,0,6,6,0,,,,,,,,,,
P3,3,mqtt,10,5.06,5.741,,6,6,0,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-5c6c980e,rr-c785a213,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-62e49776,rr-9c11451d,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.306,,,,,
P4,2,opcua,,,,,,,,,,,1,1.284,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.281,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,199.1999969482422,199.1999969482422,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,true,17
