phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s
P3,1,modbus-tcp,9,33.884,48.367,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,6.217,6.952,0,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,11,6.36,8.35,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,5.131,5.313,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,13,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-e2ac254a,rr-9fa520c8,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-86406942,rr-41271844,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.31,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.291,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.279,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.285,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,199.1999969482422,199.1999969482422,,,,,,,,,,,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,true,7,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,,,89.894,,5,0,0,false,60.499
P6,,castfilm,,,,,,,,,,,,,,,,,,43,,,89.894,,5,0,0,false,60.403
P6,,castfilm,,,,,,,,,,,,,,,,,,44,,,89.894,,5,0,0,false,60.54
