phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s
P3,1,modbus-tcp,9,32.246,47.519,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,10,4.998,6.401,0,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,11,5.713,27.421,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,4,http,12,4.174,6.505,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,13,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-cef778c0,rr-219156a7,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-6f326b0a,rr-3ccb0ebe,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.31,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.279,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.28,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.275,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,199.1999969482422,199.1999969482422,,,,,,,,,,,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,true,8,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,77.583,87.104,89.894,0.969,8,8,0,true,96.628
P6,,castfilm,,,,,,,,,,,,,,,,,,43,85.5,85.5,89.894,0.951,0,0,0,true,0.046
P6,,castfilm,,,,,,,,,,,,,,,,,,44,85.5,85.5,89.894,0.951,0,0,0,true,0.081
