phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s
P3,1,modbus-tcp,8,32.685,49.548,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,4.957,5.212,0,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,5.416,16.166,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,4,http,12,4.975,29.158,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,13,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-bd3d396c,rr-0d37c0ef,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-60064c31,rr-9a6e75a4,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.313,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.349,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.307,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.272,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,199.1999969482422,199.1999969482422,,,,,,,,,,,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,true,8,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,70.948,68.186,89.894,0.759,8,8,0,false,108.642
P6,,castfilm,,,,,,,,,,,,,,,,,,43,34.429,44.778,89.894,0.498,8,6,0,false,108.535
P6,,castfilm,,,,,,,,,,,,,,,,,,44,,89.858,89.894,1,5,5,0,true,72.383
