phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s
P3,1,modbus-tcp,8,49.145,125.19,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,5.332,8.109,0,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,5.638,29.817,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,4,http,12,4.145,13.662,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-30736923,rr-d577fe60,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-944a199a,rr-fc1dc711,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.306,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.283,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.27,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.287,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,199.1999969482422,199.1999969482422,,,,,,,,,,,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,true,7,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,70.404,86.844,89.894,0.966,2,2,0,true,36.269
P6,,castfilm,,,,,,,,,,,,,,,,,,43,68.608,87.288,89.894,0.971,2,2,0,true,36.285
P6,,castfilm,,,,,,,,,,,,,,,,,,44,65.319,87.445,89.894,0.973,2,2,0,true,36.202
