phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s
P3,1,modbus-tcp,5,32.736,455.362,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,5.876,10.026,0,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,5.461,6.317,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,4.208,4.43,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-bf9ed367,rr-a44e0bcd,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-9fc3f371,rr-f1b3d63b,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.3,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.315,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.289,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.279,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,199.1999969482422,199.1999969482422,,,,,,,,,,,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,true,7,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,70.771,86.844,89.894,0.966,2,2,0,true,36.179
P6,,castfilm,,,,,,,,,,,,,,,,,,43,68.962,87.341,89.894,0.972,2,2,0,true,36.19
P6,,castfilm,,,,,,,,,,,,,,,,,,44,67.821,87.158,89.894,0.97,2,2,0,true,36.2
