arm,rep,case,kind,value,verdict,status,latency_ms
full,1,attack,below-global,110,rejected,400,18.6
full,1,attack,above-global,266,rejected,400,17.8
full,1,attack,above-window,218,rejected,400,18.4
full,1,attack,below-window,170,rejected,400,17.6
full,1,attack,extreme,1000000,rejected,400,17.6
full,1,attack,negative,-66,rejected,400,17.8
full,1,legit,in-window,182,ok,200,107.9
full,1,legit,in-window,190,ok,200,125.5
full,1,legit,in-window,198,ok,200,141.4
full,1,timed,in-window,199,ok,200,142.3
full,1,timed,in-window,194,ok,200,109.6
full,1,timed,in-window,176,ok,200,202.8
full,1,timed,in-window,199,ok,200,118.9
full,1,timed,in-window,197,ok,200,125
full,1,timed,in-window,184,ok,200,141.6
full,1,timed,in-window,179,ok,200,125.5
full,1,timed,in-window,181,ok,200,141.2
full,1,timed,in-window,188,ok,200,145.3
full,1,timed,in-window,197,ok,200,156.7
full,1,timed,in-window,185,ok,200,109.7
full,1,timed,in-window,189,ok,200,110.3
full,1,timed,in-window,197,ok,200,91
full,1,timed,in-window,200,ok,200,138.7
full,1,timed,in-window,187,ok,200,109.5
full,1,timed,in-window,185,ok,200,158.2
full,1,timed,in-window,202,ok,200,94.2
full,1,timed,in-window,179,ok,200,157.7
full,1,timed,in-window,182,ok,200,111.2
full,1,timed,in-window,187,ok,200,112.9
full,1,boundary,edge,205,accept(expect accept),200,125.7
full,1,boundary,edge,205.1,reject(expect reject),400,3.2
full,1,boundary,edge,174.9,reject(expect reject),400,41.2
full,2,attack,below-global,116,rejected,400,4.4
full,2,attack,above-global,268,rejected,400,18.8
full,2,attack,above-window,217,rejected,400,19.5
full,2,attack,below-window,168,rejected,400,18.5
full,2,attack,extreme,1000000,rejected,400,20.1
full,2,attack,negative,-62,rejected,400,21.5
full,2,legit,in-window,182,ok,200,141.5
full,2,legit,in-window,190,ok,200,175
full,2,legit,in-window,198,ok,200,123.6
full,2,timed,in-window,193,ok,200,141.1
full,2,timed,in-window,196,ok,200,141.6
full,2,timed,in-window,194,ok,200,125.4
full,2,timed,in-window,179,ok,200,171.5
full,2,timed,in-window,176,ok,200,157
full,2,timed,in-window,193,ok,200,112.2
full,2,timed,in-window,190,ok,200,142.7
full,2,timed,in-window,179,ok,200,141.1
full,2,timed,in-window,195,ok,200,110.7
full,2,timed,in-window,193,ok,200,157.8
full,2,timed,in-window,179,ok,200,112.5
full,2,timed,in-window,177,ok,200,141.6
full,2,timed,in-window,189,ok,200,125.9
full,2,timed,in-window,201,ok,200,126.3
full,2,timed,in-window,200,ok,200,147.7
full,2,timed,in-window,194,ok,200,111.5
full,2,timed,in-window,187,ok,200,111.6
full,2,timed,in-window,188,ok,200,110.3
full,2,timed,in-window,181,ok,200,96.1
full,2,timed,in-window,198,ok,200,125.5
full,2,boundary,edge,205,accept(expect accept),200,147.3
full,2,boundary,edge,205.1,reject(expect reject),400,19.1
full,2,boundary,edge,174.9,reject(expect reject),400,18.1
full,3,attack,below-global,117,rejected,400,61.5
full,3,attack,above-global,272,rejected,400,17.8
full,3,attack,above-window,208,rejected,400,18.3
full,3,attack,below-window,164,rejected,400,18.3
full,3,attack,extreme,1000000,rejected,400,17.8
full,3,attack,negative,-31,rejected,400,22.3
full,3,legit,in-window,182,ok,200,156.5
full,3,legit,in-window,190,ok,200,126.7
full,3,legit,in-window,198,ok,200,95.9
full,3,timed,in-window,189,ok,200,94
full,3,timed,in-window,186,ok,200,78.9
full,3,timed,in-window,195,ok,200,155.5
full,3,timed,in-window,177,ok,200,125.2
full,3,timed,in-window,180,ok,200,110.4
full,3,timed,in-window,193,ok,200,172.4
full,3,timed,in-window,185,ok,200,110.3
full,3,timed,in-window,197,ok,200,109.8
full,3,timed,in-window,188,ok,200,96.5
full,3,timed,in-window,193,ok,200,110.4
full,3,timed,in-window,192,ok,200,125
full,3,timed,in-window,180,ok,200,147.8
full,3,timed,in-window,182,ok,200,141
full,3,timed,in-window,197,ok,200,169.3
full,3,timed,in-window,185,ok,200,156.9
full,3,timed,in-window,186,ok,200,95.2
full,3,timed,in-window,201,ok,200,125.5
full,3,timed,in-window,190,ok,200,156.2
full,3,timed,in-window,193,ok,200,142
full,3,timed,in-window,182,ok,200,172.3
full,3,boundary,edge,205,accept(expect accept),200,104.9
full,3,boundary,edge,205.1,reject(expect reject),400,18.8
full,3,boundary,edge,174.9,reject(expect reject),400,17.5
no-interlock,1,attack,below-global,115,rejected,400,18.1
no-interlock,1,attack,above-global,264,rejected,400,17.9
no-interlock,1,attack,above-window,210,rejected,400,18.7
no-interlock,1,attack,below-window,160,rejected,400,18.7
no-interlock,1,attack,extreme,1000000,rejected,400,18.1
no-interlock,1,attack,negative,-53,rejected,400,17.9
no-interlock,1,legit,in-window,182,ok,200,109.9
no-interlock,1,legit,in-window,190,ok,200,95.6
no-interlock,1,legit,in-window,198,ok,200,131.9
no-interlock,1,timed,in-window,201,ok,200,93.8
no-interlock,1,timed,in-window,179,ok,200,126.1
no-interlock,1,timed,in-window,181,ok,200,124.4
no-interlock,1,timed,in-window,179,ok,200,94.5
no-interlock,1,timed,in-window,202,ok,200,156
no-interlock,1,timed,in-window,197,ok,200,140.6
no-interlock,1,timed,in-window,190,ok,200,143.7
no-interlock,1,timed,in-window,180,ok,200,109.9
no-interlock,1,timed,in-window,189,ok,200,155.3
no-interlock,1,timed,in-window,197,ok,200,142.1
no-interlock,1,timed,in-window,195,ok,200,156.9
no-interlock,1,timed,in-window,180,ok,200,158.6
no-interlock,1,timed,in-window,192,ok,200,141.3
no-interlock,1,timed,in-window,191,ok,200,127.6
no-interlock,1,timed,in-window,199,ok,200,109.8
no-interlock,1,timed,in-window,184,ok,200,124
no-interlock,1,timed,in-window,178,ok,200,94.4
no-interlock,1,timed,in-window,195,ok,200,124.8
no-interlock,1,timed,in-window,187,ok,200,125.9
no-interlock,1,timed,in-window,196,ok,200,155.9
no-interlock,1,boundary,edge,205,accept(expect accept),200,126.5
no-interlock,1,boundary,edge,205.1,reject(expect accept),400,18.4
