phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms
P3,1,modbus-tcp,5,32.65,1236.736,0.04,6,6,0,,,,,,,,,,
P3,2,opcua,10,5.687,28.837,0,6,6,0,,,,,,,,,,
P3,3,mqtt,11,5.679,6.818,,6,6,0,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-515d8c25,rr-63c1b6f6,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-c38eadb4,rr-1f6c19d0,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.309,,,,,
P4,2,opcua,,,,,,,,,,,1,1.276,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.289,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,199.1999969482422,199.1999969482422,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,true,35
