phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s
P3,1,modbus-tcp,7,47.985,50.315,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,19.851,26.402,0,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,19.653,21.392,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,4,http,12,19.156,20.982,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,13,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-54e6ab4e,rr-e4bc18ba,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-3244edda,rr-d608e95c,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.35,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.308,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.297,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.292,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,199.1999969482422,199.1999969482422,,,,,,,,,,,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,true,9,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,68.648,87.053,89.894,0.968,2,2,0,true,36.253
P6,,castfilm,,,,,,,,,,,,,,,,,,43,66.894,87.105,89.894,0.969,2,2,0,true,36.218
P6,,castfilm,,,,,,,,,,,,,,,,,,44,67.706,87.185,89.894,0.97,2,2,0,true,36.241
