phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s
P3,1,modbus-tcp,8,47.875,172.849,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,19.766,19.984,0,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,20.043,20.336,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,19.082,21.203,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,13,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-1fc4df76,rr-30c7c6b4,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-17bfeeba,rr-242e4561,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.333,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.298,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.32,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.293,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,199.1999969482422,199.1999969482422,,,,,,,,,,,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,true,7,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,69.894,86.871,89.894,0.966,2,2,0,true,36.228
P6,,castfilm,,,,,,,,,,,,,,,,,,43,68.608,87.236,89.894,0.97,2,2,0,true,36.239
P6,,castfilm,,,,,,,,,,,,,,,,,,44,70.781,87.313,89.894,0.971,2,2,0,true,36.234
