phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s
P3,1,modbus-tcp,6,48.283,1077.371,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,12,19.471,19.667,0,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,13,19.766,23.891,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,19.342,27.307,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-5256a7ca,rr-2a311861,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-570fd375,rr-8160d8cb,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.355,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.297,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.326,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.33,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,199.1999969482422,199.1999969482422,,,,,,,,,,,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,true,41,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,68.74,86.975,89.894,0.968,2,2,0,true,36.181
P6,,castfilm,,,,,,,,,,,,,,,,,,43,69.067,87.107,89.894,0.969,2,2,0,true,36.192
P6,,castfilm,,,,,,,,,,,,,,,,,,44,64.381,87.366,89.894,0.972,2,2,0,true,36.235
