phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s
P3,1,modbus-tcp,6,47.689,48.234,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,19.975,20.102,0,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,20.037,21.035,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,19.627,22.306,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-e179c09b,rr-1ef1b12d,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-3b2a6eb7,rr-3d2c4afd,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,2.272,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.328,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.306,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.3,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,192.39999389648438,192.39999389648438,,,,,,,,,,,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,false,25,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,71.504,86.999,89.894,0.968,2,2,0,true,36.225
P6,,castfilm,,,,,,,,,,,,,,,,,,43,66.212,87.158,89.894,0.97,2,2,0,true,36.215
P6,,castfilm,,,,,,,,,,,,,,,,,,44,66.329,87.341,89.894,0.972,2,2,0,true,36.219
