phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s
P3,1,modbus-tcp,8,87.198,141.584,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,19.662,19.975,0,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,19.248,20.75,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,18.773,19.255,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-69a9e8d0,rr-8d73d4c3,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-afcf8c25,rr-ce79175d,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.341,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.309,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.315,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.292,,,,,,,,,,,,,,,
P4b,2,opcua,,,,,,,,,,,,,true,142.4,142,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,,,,false,445,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,69.015,87.001,89.894,0.968,2,2,0,true,36.209
P6,,castfilm,,,,,,,,,,,,,,,,,,43,66.371,87.002,89.894,0.968,2,2,0,true,36.196
P6,,castfilm,,,,,,,,,,,,,,,,,,44,70.01,87.13,89.894,0.969,2,2,0,true,36.216
