phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s
P3,1,modbus-tcp,7,47.811,125.496,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,12,19.878,20.437,0,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,13,19.712,20.714,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,4,http,14,19.273,21.053,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-09ff66f3,rr-9ba98cd0,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-fe37325f,rr-47568dca,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.404,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.309,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.307,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.308,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,192.39999389648438,192.39999389648438,,,,,,,,,,,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,false,9,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,70.352,86.818,89.894,0.966,2,2,0,true,36.227
P6,,castfilm,,,,,,,,,,,,,,,,,,43,69.067,87.211,89.894,0.97,2,2,0,true,36.243
P6,,castfilm,,,,,,,,,,,,,,,,,,44,65.01,87.445,89.894,0.973,2,2,0,true,36.257
