phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s
P3,1,modbus-tcp,5,48.272,94.565,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,20.03,22.069,0,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,19.925,20.414,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,18.811,20.074,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-1cd4ee1c,rr-1e1436e8,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-c92638f1,rr-e5efd0eb,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.546,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.312,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.343,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.312,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,192.39999389648438,192.39999389648438,,,,,,,,,,,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,false,460,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,70.352,86.975,89.894,0.968,2,2,0,true,36.249
P6,,castfilm,,,,,,,,,,,,,,,,,,43,70.298,87.001,89.894,0.968,2,2,0,true,36.252
P6,,castfilm,,,,,,,,,,,,,,,,,,44,66.948,87.34,89.894,0.972,2,2,0,true,36.225
