phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s
P3,1,modbus-tcp,6,48.351,79.979,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,19.694,21.45,0,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,19.978,20.762,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,18.727,19.656,,6,6,0,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-4aa208f0,rr-db591242,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-a7e59fab,rr-a5c7763c,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.353,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.317,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.329,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.293,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,192.39999389648438,192.39999389648438,,,,,,,,,,,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,false,445,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,70.115,86.871,89.894,0.966,2,2,0,true,36.218
P6,,castfilm,,,,,,,,,,,,,,,,,,43,68.608,87.053,89.894,0.968,2,2,0,true,36.26
P6,,castfilm,,,,,,,,,,,,,,,,,,44,70.248,87.105,89.894,0.969,2,2,0,true,36.26
