phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset
P3,1,modbus-tcp,7,64.251,125.489,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,20.269,25.679,0,6,6,0,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,21.292,28.03,,6,6,0,,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,19.56,21.264,,6,6,0,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-9aa30a6b,rr-2ed443c4,,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-b63357b8,rr-ad9833e8,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.388,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.311,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.321,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.299,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,192.39999389648438,192.39999389648438,,,,,,,,,,,,,
P4c,1,modbus-tcp,,,,,,,,,,,,,,,,false,446,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,69.015,87.157,89.894,0.97,2,2,0,true,36.244,
P6,,castfilm,,,,,,,,,,,,,,,,,,43,69.342,87.028,89.894,0.968,2,1,0,true,36.181,
P6,,castfilm,,,,,,,,,,,,,,,,,,44,65.896,87.184,89.894,0.97,2,2,0,true,36.242,
P8,1,modbus-tcp,5,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line
P8,2,opcua,9,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line
P8,3,mqtt,9,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line
P8,4,modbus-rtu,0,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line
P8,5,http,9,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line
