phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset
P3,1,modbus-tcp,7,140.219,967.053,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,12,19.184,19.998,0,6,6,0,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,13,19.986,20.826,,6,6,0,,,,,,,,,,,,,,,,,,,,,
P3,4,http,14,18.856,41.466,,6,6,0,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-66b92f85,rr-d5b9e837,,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-aa452920,rr-46308b26,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.353,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.314,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.344,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.308,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,199.1999969482422,199.1999969482422,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,,,,true,9,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,70.179,87.131,89.894,0.969,2,2,0,true,36.212,
P6,,castfilm,,,,,,,,,,,,,,,,,,43,68.635,87.21,89.894,0.97,2,2,0,true,36.217,
P6,,castfilm,,,,,,,,,,,,,,,,,,44,70.798,87.314,89.894,0.971,2,1,0,true,36.161,
P8,1,modbus-tcp,12,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line
P8,2,opcua,14,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line
P8,3,mqtt,14,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line
P8,4,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line
P8,5,http,13,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line
