phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset
P3,1,modbus-tcp,4,157.843,1001.726,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,12,19.735,19.926,0,6,6,0,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,13,19.65,20.123,,6,6,0,,,,,,,,,,,,,,,,,,,,,
P3,4,http,14,19.632,23.479,,6,6,0,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-7914b7b5,rr-185c5791,,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-2b01aadd,rr-de3628ac,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,1,1.353,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,1,1.299,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,1,1.309,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,1,1.321,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,199.1999969482422,199.1999969482422,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,,,,true,441,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,69.802,87.079,89.894,0.969,2,2,0,true,36.237,
P6,,castfilm,,,,,,,,,,,,,,,,,,43,69.015,87.236,89.894,0.97,2,2,0,true,36.214,
P6,,castfilm,,,,,,,,,,,,,,,,,,44,65.219,87.132,89.894,0.969,2,2,0,true,36.217,
P8,1,modbus-tcp,8,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line
P8,2,opcua,14,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line
P8,3,mqtt,14,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line
P8,4,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line
P8,5,http,13,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line
