phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,recipe_versions,recipe_lastgood,recipe_applied_run,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset,backstop_fired,backstop_restored,latency_s,record,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,6,48.101,571.319,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,20.176,25.901,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,20.14,23.111,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,32.946,33.843,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,1,modbus-tcp,,,,,,,,3,rr-d1e9fc20,rr-26f6e5e2,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b,2,opcua,,,,,,,,3,rr-d5cb2ebf,rr-75e5f4c7,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,,,,3,5.05,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,,,,3,4.322,,,,,,,,,,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,,,,0,4.342,,,,,,,,,,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,,,,0,4.402,,,,,,,,,,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,true,200,200,,,,,,,,,,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,,,,true,459,,,,,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,69.223,86.975,89.894,0.968,2,2,0,true,36.18,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,43,68.046,87.341,89.894,0.972,2,2,0,true,36.176,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,44,67.885,87.393,89.894,0.972,2,2,0,true,36.18,,,,,,,,,,
P8,1,modbus-tcp,10,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,2,opcua,15,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,3,mqtt,15,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,4,modbus-rtu,15,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,5,http,14,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8b,,modbus-tcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,130.162,opt-8818969b,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,false,true,0,0
