phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset,backstop_fired,backstop_restored,latency_s,record,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,5,48.052,49.754,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,10,19.286,19.602,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,20.253,24.61,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,33.223,33.347,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,3,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,3,4.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,3,4.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,3,4.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,true,203.39999389648438,203.39999389648438,,,,,,,,,,,,,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,true,15,,,,,,,,,,,,,,,,,,,,,,,
P4e,1,modbus-tcp,,,,,,,,,,,,,,,3,rr-96f105b7,rr-895bede4,,,,,,,,,,,,,,,,,,,,
P4e,2,opcua,,,,,,,,,,,,,,,3,rr-f3aa6e0c,rr-8aa34fa6,,,,,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,69.985,87.079,89.894,0.969,2,2,0,true,36.199,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,43,68.229,87.028,89.894,0.968,2,2,0,true,36.188,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,44,70.798,87.366,89.894,0.972,2,1,0,true,36.187,,,,,,,,,,
P8,1,modbus-tcp,8,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,2,opcua,12,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,3,mqtt,12,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,4,modbus-rtu,11,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,5,http,11,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8b,,modbus-tcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,120.204,opt-90b8c1f4,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,12
