phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset,backstop_fired,backstop_restored,latency_s,record,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,5,47.587,321.113,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,20.544,27.536,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,19.629,21.563,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,32.827,33.127,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,3,5.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,3,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,3,4.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,3,4.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,true,203.39999389648438,203.39999389648438,,,,,,,,,,,,,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,true,18,,,,,,,,,,,,,,,,,,,,,,,
P4e,1,modbus-tcp,,,,,,,,,,,,,,,3,rr-29de28fb,rr-8e1d5c3c,,,,,,,,,,,,,,,,,,,,
P4e,2,opcua,,,,,,,,,,,,,,,3,rr-4f5cdd16,rr-a622b5bd,,,,,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,71.125,86.791,89.894,0.965,2,2,0,true,36.232,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,43,66.737,87.079,89.894,0.969,2,2,0,true,36.185,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,44,66.948,87.34,89.894,0.972,2,2,0,true,36.176,,,,,,,,,,
P8,1,modbus-tcp,6,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,2,opcua,11,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,3,mqtt,11,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,4,modbus-rtu,11,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,5,http,10,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8b,,modbus-tcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,130.177,opt-77cea56e,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,12
