phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset,backstop_fired,backstop_restored,latency_s,record,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,8,47.768,51.628,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,18.995,29.719,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,11,19.61,23.079,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,32.521,32.707,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,3,4.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,3,4.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,3,4.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,3,4.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,true,203.39999389648438,203.39999389648438,,,,,,,,,,,,,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,true,22,,,,,,,,,,,,,,,,,,,,,,,
P4e,1,modbus-tcp,,,,,,,,,,,,,,,3,rr-c09670a1,rr-80e587df,,,,,,,,,,,,,,,,,,,,
P4e,2,opcua,,,,,,,,,,,,,,,3,rr-4fb5a438,rr-967308fe,,,,,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,69.971,86.922,89.894,0.967,2,2,0,true,36.211,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,43,66.16,87.393,89.894,0.972,2,2,0,true,36.19,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,44,70.798,87.21,89.894,0.97,2,2,0,true,36.198,,,,,,,,,,
P8,1,modbus-tcp,10,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,2,opcua,11,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,3,mqtt,11,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,4,modbus-rtu,11,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,5,http,11,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8b,,modbus-tcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,130.137,opt-0d543c09,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,14
