phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,5,47.502,47.699,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,18.895,19.951,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,20.068,20.407,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,32.158,32.906,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,3,4.541,,,,,,,,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,3,4.343,,,,,,,,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,0,4.3,,,,,,,,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,3,4.4,,,,,,,,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,true,203.39999389648438,203.39999389648438,,,,,,,,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,true,7,,,,,,,,,,,,,,,,,,
P4e,1,modbus-tcp,,,,,,,,,,,,,,,3,rr-43182a4c,rr-f5e4ab90,,,,,,,,,,,,,,,
P4e,2,opcua,,,,,,,,,,,,,,,3,rr-7828664d,rr-da919700,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,70.3,87.027,89.894,0.968,2,2,0,true,38.64,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,43,69.946,87.184,89.894,0.97,2,1,0,true,36.861,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,44,70.912,87.078,89.894,0.969,2,2,0,true,38.667,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,14
