phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,0,47.449,93.936,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,12,20.273,37.044,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,14,21.528,73.877,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,http,14,32.867,33.547,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,3,4.576,,,,,,,,,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,3,4.395,,,,,,,,,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,3,4.361,,,,,,,,,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,3,4.391,,,,,,,,,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,true,203.39999389648438,203.39999389648438,,,,,,,,,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,true,17,,,,,,,,,,,,,,,,,,,
P4e,1,modbus-tcp,,,,,,,,,,,,,,,3,rr-7f7fe744,rr-d50e7a93,,,,,,,,,,,,,,,,
P4e,2,opcua,,,,,,,,,,,,,,,3,rr-1260a0d8,rr-875c6d60,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,70.798,86.662,89.894,0.964,2,2,0,true,39.299,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,43,68.15,87.366,89.894,0.972,2,2,0,true,36.195,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,44,,86.921,89.894,0.967,3,2,0,true,49.492,,,,,,
P8,1,modbus-tcp,20,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,
P8,2,opcua,26,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,
P8,3,mqtt,26,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,
P8,4,modbus-rtu,26,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,
P8,5,http,25,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,14
