phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,12,47.441,97.715,0.04,6,6,0,,,,,,,,,,,,,,,
P3,2,opcua,15,19.642,38.175,0,6,6,0,,,,,,,,,,,,,,,
P3,3,mqtt,16,20.518,21.897,,6,6,0,,,,,,,,,,,,,,,
P3,4,http,17,32.916,33.371,,6,6,0,,,,,,,,,,,,,,,
P3,5,modbus-rtu,18,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,3,4.463,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,3,4.359,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,3,4.422,,,,,,,,,,,,,
P4,4,http,,,,,,,,3,4.492,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,true,203.39999389648438,203.39999389648438,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,true,15,,,,,,,,
P4e,1,modbus-tcp,,,,,,,,,,,,,,,3,rr-26a8db26,rr-480e8ffc,,,,,
P4e,2,opcua,,,,,,,,,,,,,,,3,rr-5dd8799c,rr-a9308464,,,,,
P9,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,14
