phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,8,121.718,653.041,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,19.404,54.063,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,13,19.489,19.776,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,http,14,32.361,33.15,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,3,4.655,,,,,,,,,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,3,4.359,,,,,,,,,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,0,4.296,,,,,,,,,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,3,4.365,,,,,,,,,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,true,203.39999389648438,203.39999389648438,,,,,,,,,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,true,18,,,,,,,,,,,,,,,,,,,
P4e,1,modbus-tcp,,,,,,,,,,,,,,,3,rr-402e5dac,rr-aceb4477,,,,,,,,,,,,,,,,
P4e,2,opcua,,,,,,,,,,,,,,,3,rr-63738a6e,rr-fbcba145,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,73.34,86.713,89.894,0.965,2,1,0,true,36.785,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,43,68.452,87.236,89.894,0.97,2,2,0,true,36.265,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,44,70.248,87.339,89.894,0.972,2,2,0,true,36.83,,,,,,
P8,1,modbus-tcp,33,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,
P8,2,opcua,40,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,
P8,3,mqtt,0,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,
P8,4,modbus-rtu,36,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,
P8,5,http,36,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,14
