phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,8,50.311,296.273,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,20.137,29.506,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,20.287,27.481,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,32.675,33.145,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,3,4.547,,,,,,,,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,3,4.36,,,,,,,,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,0,4.347,,,,,,,,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,3,4.328,,,,,,,,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,true,203.39999389648438,203.39999389648438,,,,,,,,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,true,10,,,,,,,,,,,,,,,,,,
P4e,1,modbus-tcp,,,,,,,,,,,,,,,3,rr-786885a4,rr-fb3fb932,,,,,,,,,,,,,,,
P4e,2,opcua,,,,,,,,,,,,,,,3,rr-cb6f8f05,rr-1951b0ea,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,69.919,87.183,89.894,0.97,2,2,0,true,36.991,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,43,69.946,87.287,89.894,0.971,2,2,0,true,36.991,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,44,70.248,87.236,89.894,0.97,2,2,0,true,39.49,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,14
