phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,3,125.17,855.72,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,13,18.43,849.729,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,16,9.658,12.451,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,http,18,18.267,22.241,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,3,4.829,,,,,,,,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,3,5.888,,,,,,,,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,3,4.254,,,,,,,,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,3,4.248,,,,,,,,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,true,203.39999389648438,203.39999389648438,,,,,,,,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,true,2863,,,,,,,,,,,,,,,,,,
P4e,1,modbus-tcp,,,,,,,,,,,,,,,3,rr-1fa209e1,rr-f0c5e8c3,,,,,,,,,,,,,,,
P4e,2,opcua,,,,,,,,,,,,,,,3,rr-a2f3a430,rr-48731dbb,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,70.717,86.766,89.894,0.965,2,2,0,true,41.801,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,43,68.965,87.001,89.894,0.968,2,2,0,true,37.795,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,44,65.006,87.185,89.894,0.97,2,2,0,true,37.018,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,14
