phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset,backstop_fired,backstop_restored,latency_s,record,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,9,48.276,232.42,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,12,21.066,52.151,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,13,23.082,33.931,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,http,14,33.393,34.731,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,3,4.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,3,4.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,0,4.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,3,4.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,true,203.39999389648438,203.39999389648438,,,,,,,,,,,,,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,true,32,,,,,,,,,,,,,,,,,,,,,,,
P4e,1,modbus-tcp,,,,,,,,,,,,,,,3,rr-d5f9a15c,rr-4163e450,,,,,,,,,,,,,,,,,,,,
P4e,2,opcua,,,,,,,,,,,,,,,3,rr-ad4aed7f,rr-d465338b,,,,,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,42,73.762,86.53,89.894,0.963,2,2,0,true,36.307,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,43,68.754,87.106,89.894,0.969,2,2,0,true,36.269,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,44,71.671,86.452,89.894,0.962,4,4,0,true,62.904,,,,,,,,,,
P8,1,modbus-tcp,6,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,2,opcua,11,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,3,mqtt,11,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,4,modbus-rtu,7,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,5,http,11,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8b,,modbus-tcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,121.024,opt-228ffa93,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,14
