phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,mission_writes,mission_final_pv,mission_target,mission_attained,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset,backstop_fired,backstop_restored,latency_s,record,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,9,55.427,128.429,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,19.213,28.779,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,19.482,33.913,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,32.1,32.905,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,3,4.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,3,4.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,3,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,3,4.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4m,1,modbus-tcp,,,,,,,,,,1,204.6999969482422,204.704,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,,true,208.10000610351562,208.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,,,,,true,15,,,,,,,,,,,,,,,,,,,,,,,
P4e,1,modbus-tcp,,,,,,,,,,,,,,,,,,,3,rr-1e5b06ff,rr-164818b5,,,,,,,,,,,,,,,,,,,,
P4e,2,opcua,,,,,,,,,,,,,,,,,,,3,rr-2e48ace8,rr-86903e0a,,,,,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,42,70.417,87.105,89.894,0.969,2,2,0,true,36.217,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,43,70.258,87.028,89.894,0.968,2,1,0,true,36.171,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,44,65.792,87.131,89.894,0.969,2,2,0,true,36.225,,,,,,,,,,
P8,1,modbus-tcp,6,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,2,opcua,11,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,3,mqtt,11,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,4,modbus-rtu,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,5,http,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8b,,modbus-tcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,130.178,opt-ef229b92,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,14
