phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,mission_writes,mission_final_pv,mission_target,mission_attained,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,agent_harness,agent_state,agent_wall_s,agent_oracle,goal_state,goal_pv,goal_target,goal_writes,goal_recipe_saved,goal_oracle,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset,backstop_fired,backstop_restored,latency_s,record,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,8,70.766,357.42,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,11,18.891,36.95,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,20.826,47.099,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,http,13,32.357,32.742,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,3,5.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,3,4.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,3,4.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,3,4.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4m,1,modbus-tcp,,,,,,,,,,1,204.6999969482422,204.704,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,,true,208.10000610351562,208.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,,,,,true,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4e,1,modbus-tcp,,,,,,,,,,,,,,,,,,,3,rr-b4f3cf35,rr-ca7db34a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4e,2,opcua,,,,,,,,,,,,,,,,,,,3,rr-138b7a9b,rr-c756eb79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,1,modbus-tcp,,,,,,,,,,,,,,,,,,,,,,omp,COMPLETED,96.219,true,,,,,,,,,,,,,,,,,,,,,,,,,,
P5b,,cast-film-twin,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,52.3,52,4,true,true,,,,,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,72.123,86.87,89.894,0.966,2,2,0,true,36.287,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,68.635,87.288,89.894,0.971,2,2,0,true,36.189,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,71.185,87.079,89.894,0.969,2,2,0,true,36.234,,,,,,,,,,
P8,1,modbus-tcp,11,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,2,opcua,11,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,3,mqtt,11,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,4,modbus-rtu,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,5,http,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8b,,modbus-tcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,130.187,opt-3bc7f000,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,14
