phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,mission_writes,mission_final_pv,mission_target,mission_attained,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,agent_harness,agent_state,agent_wall_s,agent_oracle,goal_state,goal_pv,goal_target,goal_writes,goal_recipe_saved,goal_oracle,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset,backstop_fired,backstop_restored,latency_s,record,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,2,47.964,93.499,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,10,19.663,31.336,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,11,19.35,21.443,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,http,12,32.39,33.617,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,3,4.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,3,4.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,3,4.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,3,4.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4m,1,modbus-tcp,,,,,,,,,,1,204.6999969482422,204.704,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,,true,208.10000610351562,208.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,,,,,true,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4e,1,modbus-tcp,,,,,,,,,,,,,,,,,,,3,rr-ed5e54e4,rr-a5516ca9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4e,2,opcua,,,,,,,,,,,,,,,,,,,3,rr-dfb93b3b,rr-3636198a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,1,modbus-tcp,,,,,,,,,,,,,,,,,,,,,,omp,COMPLETED,102.285,true,,,,,,,,,,,,,,,,,,,,,,,,,,
P5b,,cast-film-twin,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,51.633,52,3,true,true,,,,,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,66.054,87.393,89.894,0.972,2,2,0,true,36.201,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,68.962,87.158,89.894,0.97,2,2,0,true,36.206,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,65.319,87.08,89.894,0.969,2,2,0,true,36.196,,,,,,,,,,
P8,1,modbus-tcp,10,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,2,opcua,11,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,3,mqtt,11,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,4,modbus-rtu,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8,5,http,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,
P8b,,modbus-tcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,130.183,opt-8343eb87,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,14
