phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,mission_writes,mission_final_pv,mission_target,mission_attained,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,param_write_pass,product_layer_block,standing_layer_block,param_read_ok,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset,backstop_fired,backstop_restored,latency_s,record,biax_devices,biax_dcw,biax_daq,biax_writes,biax_distinct,biax_final_um,biax_attained,scenario,attained,line_reused,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P3,1,modbus-tcp,9,47.691,48.635,0.04,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,2,opcua,10,11.665,19.8,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,3,mqtt,12,21.043,22.234,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,4,http,12,32.643,34.192,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,5,modbus-rtu,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,1,modbus-tcp,,,,,,,,3,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,2,opcua,,,,,,,,3,4.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,3,mqtt,,,,,,,,3,4.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,4,http,,,,,,,,3,4.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4m,1,modbus-tcp,,,,,,,,,,1,204.6999969482422,204.704,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4b,1,modbus-tcp,,,,,,,,,,,,,,true,208.10000610351562,208.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4c,2,opcua,,,,,,,,,,,,,,,,,true,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4e,1,modbus-tcp,,,,,,,,,,,,,,,,,,,3,rr-ce1a5a1e,rr-21f8f2c4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4e,2,opcua,,,,,,,,,,,,,,,,,,,3,rr-c4b0cd20,rr-4cc3f247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4f,2,opcua,,,,,,,,,,,,,,,,,,,,,,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,,,,,42,68.74,86.871,89.894,0.966,2,2,0,true,36.225,,,,,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,,,,,43,68.806,87.341,89.894,0.972,2,2,0,true,36.191,,,,,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,,,,,44,67.152,87.08,89.894,0.969,2,2,0,true,36.2,,,,,,,,,,,,,,,,,,,,
P8,1,modbus-tcp,11,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,,,,,,,,,,,
P8,2,opcua,11,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,,,,,,,,,,,
P8,3,mqtt,11,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,,,,,,,,,,,
P8,4,modbus-rtu,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,,,,,,,,,,,
P8,5,http,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,,,,,,,,,,,
P8b,,modbus-tcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,120.24,opt-acc94daa,,,,,,,,,,,,,,,
P10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,19,3,3,25.64,1,,,,,,,,
P11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,34.89,,,,,,,,,,,,,injection,1,1,,,,,
P11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,194.01,,,,,,,,,,,,,wwtp,1,1,,,,,
P11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,74.83,,,,,,,,,,,,,anneal,1,1,,,,,
P11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,biax,1,1,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,14
